,names,prices,icons_url
0,Air Filter 3 | Red,$0.13,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
1,Air Filter 5 | Black,$0.29,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
2,Side Cover | Skull Yellow,$0.54,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
3,Muffler 3 | Gold,$0.12,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
4,Valve Cover 1 | Gold,$0.21,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
5,Air Filter 3 | Yellow,$0.13,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
6,Fuel Tank 2 | Silver,$0.14,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
7,Fuel Cap 4 | Silver,$0.13,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
8,Side Cover | Swirl Green,$0.29,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
9,Fuel Tank 2 | Gold,$0.27,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
10,Starter 1 | Swirl White,$5.52,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
11,Side Cover | Swirl White,$0.54,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
12,Air Filter 4 | Green,$0.18,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
13,Starter 1 | Swirl Green,$0.13,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
14,Carburetor | Green,$1.00,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
15,Muffler 6 | Silver,$0.26,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
16,Fuel Tank 7 | Painted Red,$0.15,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
17,Air Filter 2 | Silver Green,$0.20,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
18,Air Filter 2 | Silver Blue,$0.19,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
19,Muffler 7 | Gold,$0.14,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
